IDborrower,IDlender,getID,IsExpired,GetLinkedAgentID,getType,Initial Borrower,Initial Lender,Linked Borrower (IB Market),Linked Lender (IB Market),IB Deposit Rate Linked Agent,IB Loan Rate Linked Agent
0,7,21,1,0,21,,,,,,
0,7,21,1,0,21,,,,,,
0,7,21,1,0,21,,,,,,
0,13,22,0,0,2,,13,,,,
0,13,22,0,0,21,,,,,,
0,13,22,1,0,21,,,,,,
0,13,22,1,0,21,,,,,,
0,13,22,1,0,21,,,,,,
0,13,22,1,0,21,,,,,,
0,7,23,0,0,2,,7,,,,
0,7,23,0,0,21,,,,,,
0,7,23,1,0,21,,,,,,
0,7,23,1,0,21,,,,,,
0,7,23,1,0,21,,,,,,
0,7,23,1,0,21,,,,,,
0,4,24,0,0,2,,4,,,,
0,4,24,0,0,21,,,,,,
0,4,24,1,0,21,,,,,,
0,4,24,1,0,21,,,,,,
0,4,24,1,0,21,,,,,,
0,4,24,1,0,21,,,,,,
8,0,19,0,0,1,8,,,,,
8,0,19,0,0,11,8,,0,,0,
8,0,19,1,0,11,8,,0,,0,
8,0,19,1,0,11,8,,0,,0,
13,0,20,0,0,1,13,,,,,
13,0,20,1,0,1,13,,,,,
13,0,20,1,0,1,13,,,,,
0,12,25,0,0,2,,12,,,,
0,12,26,0,0,2,,12,,,,
0,17,27,0,0,2,,17,,,,
0,17,27,0,0,21,,,,,,
0,17,27,1,0,21,,,,,,
0,17,27,1,0,21,,,,,,
0,17,27,1,0,21,,,,,,
0,17,27,1,0,21,,,,,,
6,0,21,0,0,1,6,,,,,
6,0,21,1,0,1,6,,,,,
6,0,21,1,0,1,6,,,,,
16,0,22,0,0,1,16,,,,,
16,0,22,0,0,11,16,,0,,0,
16,0,22,1,0,11,16,,0,,0,
16,0,22,1,0,11,16,,0,,0,
0,19,28,0,0,2,,19,,,,
0,19,28,0,0,21,,,,,,
0,19,28,1,0,21,,,,,,
0,19,28,1,0,21,,,,,,
0,19,28,1,0,21,,,,,,
0,19,28,1,0,21,,,,,,
18,0,23,0,0,1,18,,,,,
