IDborrower,IDlender,getID,IsExpired,GetLinkedAgentID,getType,Initial Borrower,Initial Lender,Linked Borrower (IB Market),Linked Lender (IB Market),IB Deposit Rate Linked Agent,IB Loan Rate Linked Agent
0,5,1653,1,2,21,,,,,,
0,5,1653,1,2,21,,,,,,
0,5,1654,0,0,2,,5,,,,
0,5,1654,0,3,21,,,,,,
0,5,1654,1,3,21,,,,,,
0,5,1654,1,3,21,,,,,,
0,5,1654,1,3,21,,,,,,
0,5,1654,1,3,21,,,,,,
0,7,1655,0,0,2,,7,,,,
0,7,1655,0,2,21,,,,,,
0,7,1655,1,2,21,,,,,,
0,7,1655,1,2,21,,,,,,
0,7,1655,1,2,21,,,,,,
0,7,1655,1,2,21,,,,,,
0,9,1656,0,0,2,,9,,,,
0,9,1656,0,8,21,,,,,,
0,9,1656,1,8,21,,,,,,
0,9,1656,1,8,21,,,,,,
0,9,1656,1,8,21,,,,,,
0,9,1656,1,8,21,,,,,,
0,1,1657,0,0,2,,1,,,,
3,0,1556,0,0,1,3,,,,,
0,0,1658,0,0,2,,0,,,,
0,0,1658,0,6,21,,,,,,
0,0,1658,1,6,21,,,,,,
0,0,1658,1,6,21,,,,,,
0,0,1658,1,6,21,,,,,,
0,0,1658,1,6,21,,,,,,
9,0,1557,0,0,1,9,,,,,
0,0,1558,0,0,1,0,,,,,
0,7,1659,0,0,2,,7,,,,
0,7,1659,0,5,21,,,,,,
0,7,1659,1,5,21,,,,,,
0,7,1659,1,5,21,,,,,,
0,7,1659,1,5,21,,,,,,
0,7,1659,1,5,21,,,,,,
0,7,1660,0,0,2,,7,,,,
0,7,1660,0,5,21,,,,,,
0,7,1660,1,5,21,,,,,,
0,7,1660,1,5,21,,,,,,
0,7,1660,1,5,21,,,,,,
0,7,1660,1,5,21,,,,,,
0,5,1661,0,0,2,,5,,,,
0,5,1661,0,3,21,,,,,,
0,5,1661,1,3,21,,,,,,
0,5,1661,1,3,21,,,,,,
0,5,1661,1,3,21,,,,,,
0,5,1661,1,3,21,,,,,,
1,0,1559,0,0,1,1,,,,,
1,0,1559,0,3,11,1,,3,,0,
1,0,1559,1,3,11,1,,3,,0,
1,0,1559,1,3,11,1,,3,,0,
